 -285.42,  587.75,16301.14
 1529.84,-2797.12,16090.25
 1672.82,-2620.56,16025.69
 1127.03,  267.88,16780.69
  599.19,  415.43,16927.01
 -157.83,   30.45,16655.65
  591.60,  -31.29,16819.00
 1062.45, -916.01,16420.20
  159.00, -733.10,16209.48
  720.40,  169.08,16475.36
 -217.68, -296.46,15160.59
  389.78, -525.55,16322.98
 1505.35,  733.16,15123.16
 1565.63, -490.27,16408.68
  -24.19, -956.46,16639.36
  681.59, -803.47,16584.16
  634.75, -619.26,16708.07
 -474.67,  402.56,17274.91
 1393.60, -118.29,15984.50
  818.67, -520.18,16961.54
  185.79, 1189.96,16701.05
  492.39,  299.69,16858.12
 1245.21, -396.57,16397.54
  351.97,   99.64,16634.63
-1387.59, -350.24,16743.32
 1441.05, 3568.04,16923.28
  186.61, 6033.28,16224.99
 1459.07, 7724.81,12979.56
 1074.70,12814.54, 9093.81
 2251.00,16159.96, 6178.78
 1986.04,15535.43, 2364.44
 2889.40,15533.46,-1316.54
 3069.85,16685.47,  690.01
 2638.07,16552.84, 5062.42
 2154.78,13941.30, 8624.40
 1479.94,10107.73,12900.54
 -705.38, 4820.01,14747.12
  -74.97, 1374.47,17651.59
-1270.20,-3809.29,16723.87
-1083.87,-9277.06,12914.52
-1929.94,-12550.33, 9305.79
-2032.86,-15371.78, 7886.33
 -502.52,-16434.39, 2694.68
 -159.06,-16534.62,-1110.68
 -372.04,-14626.45,-4177.00
  556.59,-17813.86,-2002.86
  641.17,-17162.33, 1529.54
 1983.90,-16669.56, 1367.06
 2139.90,-16024.47,  740.48
 3216.75,-16597.06,  121.31
 2041.83,-16080.16, -348.70
 -204.54,-16531.00, -632.30
 -687.49,-16646.13, -580.10
  679.45,-16057.99, -164.67
  328.58,-15610.81,  927.11
 -352.00,-16393.21, 1412.91
-3925.37,-16373.96, 2324.16
-2929.71,-15288.43, 3656.69
-1811.27,-17344.21, 2926.36
-5611.39,-14395.86, 2523.31
-7581.29,-15748.74, 1397.83
-8079.32,-15750.68, -814.86
-5497.22,-15766.70,-3228.79
-6668.70,-16226.47,-4675.30
-5599.05,-16655.34,-3174.74
-7902.07,-14782.11, -921.31
-9450.73,-14495.40, 3714.09
-5498.52,-12464.50, 9444.39
 -902.56,-13390.65, 8502.85
 -694.08,-14157.34, 9531.86
  602.51,-8943.75,12650.02
 2916.65,-4430.45,16062.77
 3347.73, -272.05,15591.83
 1653.61, 8370.28,15579.53
 2916.34,13340.78,11136.91
 2931.25,14498.50, 7319.76
 2200.25,16048.51, 1184.37
 1744.71,16244.27,-1972.42
 2319.43,14805.32,-5426.55
 2309.64,14903.77,-3811.14
 3322.64,13964.09, 2042.31
 2004.63,16415.40, 5917.81
 1876.98,12139.57,10559.03
-1417.59, 8976.84,14822.77
-1413.66, 5249.50,15552.62
  702.48,-3632.11,15358.34
  386.84,-9196.74,12894.88
 1573.57,-11884.96,11549.81
-1669.60,-14861.67, 4073.85
-1060.12,-16458.99,-1483.94
-2086.77,-15224.28,-5772.63
-3077.87,-15406.81,-6521.77
-2342.49,-16109.19,-5122.35
-1063.19,-19326.23, 5632.89
 -928.26,-13152.34,10920.24
  165.75,-7719.13,14168.49
 2107.48,-1270.33,15702.56
 2228.45, -802.15,15901.00
